periodo;codpais;cod_cliente;origen;nro_pedidos
202015;CL;123654;1;3
202015;CL;140916;1;2
202015;CL;295361;1;1
202015;CL;350571;1;1
202015;CL;350576;1;6
202015;CL;409946;1;7
202015;CL;512151;1;1
202015;CL;581177;1;1
202015;CL;605639;1;1
202015;CL;699496;1;1
202015;CL;736480;1;2
202015;CL;750093;1;1
202015;CL;768142;1;1
202015;CL;779340;1;1
202015;CL;814617;1;1
202015;CL;830685;1;1
202016;CL;72238;1;1
202016;CL;409946;1;1
202016;CL;605639;1;2
202016;CL;686816;1;1
202018;CL;79137;1;1
202018;CL;605639;1;13
202018;CL;686816;1;2
202018;CL;699496;1;4
202018;CL;737591;1;1
202018;CL;814617;2;1
202018;CL;835009;2;5
202001;CL;192510;2;1
202001;CL;260652;2;1
202001;CL;567131;2;1
202001;CL;790746;2;2
202001;CL;797649;2;1
202001;CL;818085;2;2
202001;CL;848087;2;1
202001;CL;851989;2;1
202001;CO;9900290854;2;2
202001;CO;9906631634;2;1
202001;CO;9906913205;2;1
202002;CL;618874;2;1
202002;CL;669019;2;1
202002;CL;797649;2;4
202002;CL;813876;2;1
202002;CL;814617;2;2
202002;CL;818085;2;3
202006;CO;9906268902;2;1
202006;CO;9906503170;2;1
202006;CO;9906825031;2;2
202007;CO;9906723506;2;1
202007;CO;9906912436;2;2
202008;CO;9900002349;2;3
202008;CO;9900002423;2;2
202008;CO;9900003160;2;1
202008;CO;9900005163;2;1
202008;CO;9900005291;2;2
202008;CO;9900011713;2;3
202008;CO;9900013264;2;1
202008;CO;9900014291;2;1
202008;CO;9900025415;2;1
202008;CO;9900041675;2;1
202008;CO;9900056857;2;1
202008;CO;9900057522;2;2
202008;CO;9900066496;2;1
202008;CO;9900077871;2;1
202008;CO;9900078429;2;1
202008;CO;9900089853;2;1
202008;CO;9900092363;2;1
202008;CO;9900107989;2;10
202008;CO;9900115751;2;1
202008;CO;9900121354;2;2
202008;CO;9900152786;2;1
202008;CO;9900153336;2;1
202008;CO;9900154472;3;8
202008;CO;9900159697;3;1
202008;CO;9900165828;3;1
202008;CO;9900167744;3;1
202008;CO;9900173114;3;1
202008;CO;9900178158;3;1
202008;CO;9900191597;3;2
202008;CO;9900194560;3;1
202008;CO;9900194790;3;1
202008;CO;9900201865;3;1
202008;CO;9900202884;3;1
202008;CO;9900213499;3;1
202008;CO;9900216748;3;3
202008;CO;9900219313;3;2
202008;CO;9900223143;3;1
202008;CO;9900225138;3;1
202008;CO;9900225951;3;2
202008;CO;9900226683;3;1
202008;CO;9900234942;3;1
202008;CO;9900239145;3;1
202008;CO;9900248022;3;1
202008;CO;9900251107;3;3
202008;CO;9900253764;3;1
202008;CO;9900261545;3;1
202008;CO;9900262673;3;3
202008;CO;9900262725;3;2
202008;CO;9900265832;3;2
202008;CO;9900276508;3;1
202008;CO;9900277026;3;1
202008;CO;9900278466;3;1
202008;CO;9900280117;3;2
202008;CO;9900281509;3;2
202008;CO;9900284154;3;1
202008;CO;9900285007;3;1
202008;CO;9900287959;3;1
202008;CO;9900290466;3;1
202008;CO;9900294171;3;1
202008;CO;9900302056;3;1
202008;CO;9900307871;3;1
202008;CO;9900314502;3;1
202008;CO;9900322794;3;1
202008;CO;9900357712;3;1
202008;CO;9900371257;3;1
202008;CO;9900383583;3;8
202008;CO;9900384088;3;1
202008;CO;9900390413;3;1
202008;CO;9900394706;3;1
202008;CO;9900401349;3;1
202008;CO;9900404583;3;1
202008;CO;9900411582;3;1
202008;CO;9900583678;3;1
202008;CO;9900587262;3;3
202008;CO;9900615922;3;1
202008;CO;9900636965;3;1
202008;CO;9900642197;3;2
202008;CO;9900680214;3;1
202008;CO;9900685229;3;2
202008;CO;9900705974;3;1
202008;CO;9906080397;3;1
202008;CO;9906098253;3;1
202008;CO;9906098283;3;1
202008;CO;9906100073;3;1
202008;CO;9906109591;3;1
202008;CO;9906128332;3;1
202008;CO;9906135680;3;2
202008;CO;9906156143;3;1
202008;CO;9906163846;3;1
202008;CO;9906165623;3;1
202008;CO;9906245096;3;2
202008;CO;9906251504;3;2
202008;CO;9906258987;3;1
202008;CO;9906266056;3;1
202008;CO;9906272312;3;2
202008;CO;9906290160;3;1
202008;CO;9906295745;3;2
202008;CO;9906353820;3;1
202008;CO;9906358349;3;1
202008;CO;9906369567;3;3
202008;CO;9906389345;3;1
202008;CO;9906390473;3;2
202008;CO;9906425068;3;1
202008;CO;9906425925;3;2
202008;CO;9906473821;3;2
202008;CO;9906476652;3;1
202008;CO;9906491761;3;6
202008;CO;9906506602;3;1
202008;CO;9906532729;3;1
202008;CO;9906564084;3;3
202008;CO;9906569397;3;1
202008;CO;9906580323;3;1
202008;CO;9906597135;3;1
202008;CO;9906605508;3;1
202008;CO;9906614737;3;2
202008;CO;9906640056;3;1
202008;CO;9906647528;3;1
202008;CO;9906649402;3;1
202008;CO;9906673758;3;1
202008;CO;9906680612;3;1
202008;CO;9906697191;3;4
202008;CO;9906711077;3;1
202008;CO;9906716487;3;1
202008;CO;9906727714;3;1
202008;CO;9906738295;3;2
202008;CO;9906739381;3;2
202008;CO;9906743781;3;1
202008;CO;9906747450;3;4
202008;CO;9906759667;3;2
202008;CO;9906775623;3;1
202008;CO;9906809533;3;1
202008;CO;9906812064;3;3
202008;CO;9906820882;3;1
202008;CO;9906825338;3;1
202008;CO;9906826657;3;2
202008;CO;9906833926;3;3
202008;CO;9906839782;3;1
202008;CO;9906842631;3;2
202008;CO;9906844620;3;2
202008;CO;9906847291;3;1
202008;CO;9906848448;3;1
202008;CO;9906868910;3;1
202008;CO;9906875771;3;1
202008;CO;9906876056;3;2
202008;CO;9906883808;3;1
202008;CO;9906887647;3;1
202008;CO;9906891045;3;1
202008;CO;9906893398;3;1
202008;CO;9906896794;3;3
202008;CO;9906902457;3;3
202008;CO;9906907303;3;1
202008;CO;9906910877;3;1
202008;CO;9906913766;3;1
202008;CO;9906916075;3;1
202008;CO;9906920172;3;2
202008;CO;9906921893;3;1
202008;CO;9906937672;3;2
202008;CO;9906945544;3;1
202008;CO;9906945890;3;2
202008;CO;9906949658;3;1
202008;CO;9906953075;3;1
202008;CO;9906954261;3;1
202008;CO;9906957610;3;1
202008;CO;9906957828;3;1
202008;CO;9906961827;3;3
202008;CO;9906963903;3;1
202008;CO;9906965508;3;1
202008;CO;9906970111;3;1
202008;CO;9906975804;3;1
202008;CO;9906977956;3;1
202008;CO;9906978139;3;1
202008;CO;9906978530;3;1
202008;CO;9906979945;3;2
202008;CO;9906982132;3;1
202008;CO;9906983949;3;1
202008;CO;9906985051;3;1
202008;CO;9906986280;3;4
202008;CO;9906991793;3;4
202008;CO;9906992634;3;1
202008;CO;9906999899;3;1
202008;CO;9907001021;3;1
202008;CO;9907001732;3;1
202008;CO;9907005042;3;1
202008;CO;9907005843;3;2
202008;CO;9907008011;3;7
202008;CO;9907008096;3;1
202008;CO;9907009551;3;1
202008;CO;9907012793;3;2
202008;CO;9907014250;3;1
202008;CO;9907014382;3;3
202008;CO;9907016339;3;1
202008;CO;9907017305;3;2
202008;CO;9907021119;3;1
202008;CO;9907022838;3;1
202008;CO;9907023572;3;1
202008;CO;9907023657;3;1
202008;CO;9907024109;3;2
202008;CO;9907025720;3;1
202008;CO;9907028950;3;1
202008;CO;9907029990;3;2
202008;CO;9907031009;3;1
202008;CO;9907031474;3;1
202008;CO;9907032345;3;1
202008;CO;9907034030;3;3
202008;CO;9907034908;3;1
202008;CO;9907035558;3;1
202008;CO;9907036223;3;1
202008;CO;9907037132;3;1
202008;CO;9907038092;3;1
202008;CO;9907039203;3;1
202008;CO;9907039339;3;1
202008;CO;9907039780;3;1
202008;CO;9907041870;3;2
202008;CO;9907041979;3;1
202008;CO;9907043358;3;3
202008;CO;9907045234;3;1
202008;CO;9907045531;3;3
202008;CO;9907045700;3;4
202008;CO;9907045749;3;1
202008;CO;9907045766;3;1
202008;CO;9907045770;3;1
202008;CO;9907046102;3;1
202008;CO;9907046202;3;5
202008;CO;9907046238;3;1
202008;CO;9907046403;3;2
202008;CO;9907046441;3;4
202008;CO;9907046453;3;1
202008;CO;9907046564;3;3
202008;CO;9907046608;3;1
202008;CO;9907046691;3;6
202008;CO;9907046773;3;1
202008;CO;9907046794;3;1
202008;CO;9907046878;3;1
202008;CO;9907047028;3;1
202008;CO;9907047051;3;1
202008;CO;9907047100;3;1
202008;CO;9907047113;3;1
202008;CO;9907047170;3;1
202008;CO;9907047241;3;1
202008;CO;9907047398;3;1
202008;CO;9907047915;3;3
202008;CO;9907048387;3;1
202008;CO;9907048575;3;2
202008;CO;9907048708;3;1
202008;CO;9907048900;3;2
202008;CO;9907049392;3;1